path	Transcription
../resampled_audio/re_LJ046-0176.wav	that an individual presents a significant danger to the life of the president his name is placed in a trip index file
../resampled_audio/re_LJ030-0161.wav	this represents a speed of  miles per hour
../resampled_audio/re_LJ005-0139.wav	making an average of nineteen persons occupying each room
../resampled_audio/re_LJ048-0103.wav	and with the concurrence of the dallas police was entirely appropriate in view of the known desires of the president
../resampled_audio/re_LJ010-0046.wav	was followed in the very next year by those of francis and of bean in two consecutive months
../resampled_audio/re_LJ036-0173.wav	but in either event he would have been in the roominghouse at about  pm
../resampled_audio/re_LJ028-0274.wav	the babylonians were ever upon the watch and he found no way of conquering them
../resampled_audio/re_LJ032-0265.wav	each man testified that he thought he could detect the outline of a rifle in the blanket even though the blanket was empty
../resampled_audio/re_LJ037-0150.wav	that he compared the four empty cartridge cases found near the scene of the shooting with a test cartridge fired from the weapon in oswald's possession when he was arrested
../resampled_audio/re_LJ010-0059.wav	some five hundred in all were arrested but as only three of these were lodged in newgate i shall not recur to them in my narrative
../resampled_audio/re_LJ018-0220.wav	the old gentleman's signature to this deed of gift was a forgery
../resampled_audio/re_LJ035-0119.wav	until after they saw patrolman baker's white helmet on the fifth floor moving toward the elevator
../resampled_audio/re_LJ047-0075.wav	hosty had inquired earlier and found no evidence that it was functioning in the dallas area
../resampled_audio/re_LJ003-0123.wav	the most trifling acts were magnified into offenses
../resampled_audio/re_LJ004-0043.wav	a king's son the duke of gloucester was the patron among the vicepresidents were many great peers of the realm
../resampled_audio/re_LJ036-0061.wav	a beckley bus which also served the oak cliff area
../resampled_audio/re_LJ022-0158.wav	by far the greater part of the general decline in utility securities had occurred before i was inaugurated
../resampled_audio/re_LJ008-0271.wav	this was more particularly the practice in london
../resampled_audio/re_LJ033-0026.wav	there was little conversation between them on the way home
../resampled_audio/re_LJ025-0045.wav	they get rid of the superfluous hydrogen and carbon and accumulate nitrogen
../resampled_audio/re_LJ031-0026.wav	dr fouad a bashour
../resampled_audio/re_LJ039-0213.wav	so that if you aimed with this weapon as it actually was received at the laboratory it would not be necessary to take any lead whatsoever
../resampled_audio/re_LJ032-0206.wav	after comparing the rifle in the simulated photograph with the rifle in exhibit no a shaneyfelt testified quote
../resampled_audio/re_LJ010-0285.wav	invariably went out in a cab for which he always paid the same fare
../resampled_audio/re_LJ050-0038.wav	in attempting to identify those individuals who might prove a danger to the president
../resampled_audio/re_LJ032-0103.wav	the name hidell was stamped on some of the chapter's printed literature and on the membership application blanks
../resampled_audio/re_LJ006-0132.wav	all the wardsmen alike were more or less irresponsible
../resampled_audio/re_LJ006-0223.wav	there was much swearing and bad language the very worst that could be used from the first thing in the morning to the last thing at night
../resampled_audio/re_LJ002-0137.wav	so much inconvenience ensued that in  the corporation obtained from parliament an act empowering two aldermen
../resampled_audio/re_LJ006-0287.wav	the presence of so many strangers many of them gentlemen distracted the prisoners' attention and could not be productive of much good
../resampled_audio/re_LJ020-0067.wav	five tablespoonfuls of yeast
../resampled_audio/re_LJ034-0148.wav	in another interview with fbi agents on january  
../resampled_audio/re_LJ032-0016.wav	and  oswald's capability with a rifle
../resampled_audio/re_LJ041-0132.wav	he continued his efforts to reverse the discharge by petitioning the navy discharge review board
../resampled_audio/re_LJ007-0207.wav	but this had the effect of throwing them into closer contact and of making them more intimately acquainted with more directly influential upon one another
../resampled_audio/re_LJ019-0272.wav	the prisons were still far from inflicting the three punishments hard labor hard fare and a hard bed
../resampled_audio/re_LJ031-0073.wav	according to dr clark the small bullet hole on the right rear of the president's head discovered during the subsequent autopsy
../resampled_audio/re_LJ012-0038.wav	but could not positively identify it and ikey defied them to remove a single shoe
../resampled_audio/re_LJ044-0211.wav	the militant also reflected a critical attitude toward president kennedy's attempts to reduce tensions between the united states and the soviet union
../resampled_audio/re_LJ028-0402.wav	hillah might be called a child of babylon for it is almost entirely constructed with nebuchadnezzar's bricks
../resampled_audio/re_LJ047-0052.wav	having concluded that oswald was not a security risk or potentially dangerous or violent
../resampled_audio/re_LJ003-0286.wav	the report of the committee of the house of commons painted so black a picture of newgate as then conducted that the corporation were roused in very shame
../resampled_audio/re_LJ012-0148.wav	instead of handing it or the price of it back to the caspars
../resampled_audio/re_LJ040-0152.wav	turning around the topics of omnipotence and power through which he tries to compensate for his present shortcomings and frustrations end quote
../resampled_audio/re_LJ008-0199.wav	at the george publichouse to the south of the drop sir w watkin wynn baronet
../resampled_audio/re_LJ042-0005.wav	after oswald left the marine corps in september of  ostensibly to care for his mother
../resampled_audio/re_LJ017-0262.wav	two of the seven santos and marsolino were reprieved and their sentences commuted to penal servitude for life
../resampled_audio/re_LJ032-0026.wav	post office box  dallas texas on march  
../resampled_audio/re_LJ016-0435.wav	two fresh men may i speak to them yes i must caution you he went on to the warders not to go to sleep or i shall be off through that little hole
../resampled_audio/re_LJ037-0121.wav	both callaway and guinyard testified that they had not been shown any pictures by the police before the lineup
../resampled_audio/re_LJ028-0517.wav	walls which no ancient army was ever able to take by storm
../resampled_audio/re_LJ033-0182.wav	since the depository normally used approximately one roll of paper every  working days
../resampled_audio/re_LJ029-0118.wav	it afforded us wide streets most of the way because of the buses that were in the motorcade
../resampled_audio/re_LJ018-0130.wav	and stole paper on a much larger scale than brown
../resampled_audio/re_LJ007-0185.wav	justified the original allegations it was impossible to deny the indiscriminate association the gambling drinking smoking quarreling in the jail
../resampled_audio/re_LJ026-0130.wav	and may thus be easily transported to all parts of the plant
../resampled_audio/re_LJ028-0056.wav	nebuchadnezzar or nebuchadrezzar as his name should be spelled was the greatest character in babylonian history
../resampled_audio/re_LJ038-0276.wav	in explaining the difference between his policy and that of the fbi on the matter of probable identification nicol said quote
../resampled_audio/re_LJ021-0085.wav	and the incentive of fair private profit
../resampled_audio/re_LJ016-0274.wav	and the windows of the opposite houses which commanded a good view as usual fetched high prices
../resampled_audio/re_LJ013-0104.wav	he found them at length residing at the latter place one as a landed proprietor the other as a publican
../resampled_audio/re_LJ041-0178.wav	not unpopular end quote at that time donovan testified
../resampled_audio/re_LJ018-0280.wav	the commercial experience of these clever rogues was cosmopolitan
../resampled_audio/re_LJ028-0139.wav	yet he at least tried to be accurate he says
../resampled_audio/re_LJ043-0064.wav	which were largely of his own making
../resampled_audio/re_LJ008-0160.wav	some especially of low stature found it difficult to remain standing and several although held up for some time by the men nearest them
../resampled_audio/re_LJ012-0161.wav	he was reported to have fallen away to a shadow
../resampled_audio/re_LJ032-0176.wav	moreover the bus transfer which he obtained as he left the bus was still in the pocket when he was arrested
../resampled_audio/re_LJ028-0283.wav	as soon therefore as he felt within himself that babylon was fated to be taken he went to darius and asked him if he set a very high value on its conquest
../resampled_audio/re_LJ046-0149.wav	there are many actions situations and incidents that may indicate such potential danger some are specific such as threats
../resampled_audio/re_LJ022-0045.wav	therefore let us keep our minds on two or three simple essential facts in connection with this problem of unemployment
../resampled_audio/re_LJ047-0040.wav	oswald was first interviewed by fbi agents john w fain and b tom carter on june  
../resampled_audio/re_LJ032-0039.wav	and opposite the printed word from
../resampled_audio/re_LJ018-0196.wav	he was a notorious criminal
../resampled_audio/re_LJ018-0392.wav	to have obtained as much as  by false and fraudulent pretenses
../resampled_audio/re_LJ033-0039.wav	and one which provided an excuse for the carrying of a bulky package the following morning
../resampled_audio/re_LJ048-0021.wav	question this is the quigley interview you are talking about
../resampled_audio/re_LJ039-0176.wav	the angle from the first to the second shot
../resampled_audio/re_LJ044-0157.wav	he requested the embassy to rush his wife's entrance visa because of the impending birth of the second child but stated that quote
../resampled_audio/re_LJ037-0027.wav	benavides stopped and waited in the truck until the gunman ran to the corner
../resampled_audio/re_LJ046-0033.wav	the adequacy of existing procedures can fairly be assessed only after full consideration of the difficulty of the protective assignment
../resampled_audio/re_LJ037-0258.wav	there is no doubt however that oswald was seen leaving his roominghouse at about  pm wearing a zipper jacket
../resampled_audio/re_LJ007-0006.wav	they had introduced much order and cleanliness
../resampled_audio/re_LJ035-0063.wav	but i cannot recall any change in expression of any kind on his face end quote
../resampled_audio/re_LJ012-0045.wav	he put another lady with whom he was on intimate terms
../resampled_audio/re_LJ010-0130.wav	ings was especially defiant he sought to cheer davidson who seemed affected crying out
../resampled_audio/re_LJ028-0451.wav	in places even the bases have disappeared and their moats have long been filled with the drifting sand
../resampled_audio/re_LJ005-0191.wav	the society proceeded to support this indictment by facts it is much the old story
../resampled_audio/re_LJ043-0188.wav	that he was the leader of a fascist organization and when i said that even though all of that might be true just the same he had no right to take his life
../resampled_audio/re_LJ008-0061.wav	the entrance upon this floor or leaf is from the middle window over the gate of the prison
../resampled_audio/re_LJ046-0171.wav	this might involve a personal interview or interviews with members of the person's household wherever possible
../resampled_audio/re_LJ015-0131.wav	by these means redpath misappropriated vast sums during a period extending over ten years
../resampled_audio/re_LJ022-0021.wav	or to one industry or to an individual private occupation
../resampled_audio/re_LJ003-0294.wav	this committee made its report in september the following year and an excellent report it is so far as its recommendations are concerned
../resampled_audio/re_LJ004-0163.wav	and of which fewer still would believe that the original is to be found in this enlightened and happy country
../resampled_audio/re_LJ016-0151.wav	prison suicides seldom do except as regards ingenuity and determination
../resampled_audio/re_LJ015-0270.wav	cheques and bills of which he made a particular use
../resampled_audio/re_LJ041-0021.wav	in a space for the names of quote close friends end quote on the ninth grade personal history record
../resampled_audio/re_LJ015-0228.wav	pierce boldly stepped in found the cupboard unlocked he removed the key handed it to agar outside
../resampled_audio/re_LJ032-0240.wav	by sunday march  
../resampled_audio/re_LJ027-0082.wav	and any other series of organs of vertebrates would give the same evidence of fundamental resemblances homologies
../resampled_audio/re_LJ015-0070.wav	whence he passed to a better position under the crystal palace company
../resampled_audio/re_LJ028-0020.wav	late at night the weary dromedary kneels and on the ground close beside her you lie down to sleep
../resampled_audio/re_LJ048-0283.wav	so that nothing can interfere with their bringing to their task the finest qualities and maximum resources of mind and body
../resampled_audio/re_LJ043-0020.wav	the relations between oswald and his wife became such that bouhe wanted to liberate her from oswald
../resampled_audio/re_LJ044-0124.wav	oswald wrote that he felt that he might have compromised the fpcc and expressed concern lest quote our opponents could use my background
../resampled_audio/re_LJ019-0383.wav	the whole question assumed sufficient importance to become a part of the government program when lord beaconsfield took office in 
../resampled_audio/re_LJ037-0015.wav	but he saw the policeman leave the car heard three or four shots and then saw the policeman fall
../resampled_audio/re_LJ023-0082.wav	in the last four years the sound rule of giving statutes the benefit of all reasonable doubt has been cast aside
../resampled_audio/re_LJ038-0292.wav	she testified that her husband had postponed his attempt to kill walker
../resampled_audio/re_LJ032-0248.wav	it appears from his wife's testimony
../resampled_audio/re_LJ047-0245.wav	his secretary testified that she prepared such a report for him that afternoon and chief of police jesse e curry
../resampled_audio/re_LJ040-0037.wav	his wife testified that he compared himself with great readers of history
../resampled_audio/re_LJ046-0058.wav	during his presidency franklin d roosevelt made almost  journeys and traveled more than  miles
../resampled_audio/re_LJ029-0027.wav	at the white house kenneth o'donnell special assistant to the president acted as coordinator for the trip
../resampled_audio/re_LJ010-0264.wav	later on however dasset was himself seized and interrogated
../resampled_audio/re_LJ029-0030.wav	once we got san antonio moved from friday to thursday afternoon where that was his initial stop in texas
../resampled_audio/re_LJ025-0071.wav	while in this condition their movements are to all appearances as spontaneous  as much the product of volition  as those of such animals
../resampled_audio/re_LJ027-0019.wav	and at last each organism or each alliance of organisms must come to the greatest concession of all which is called death
../resampled_audio/re_LJ028-0518.wav	it is not strange then that they were included among the seven wonders of the world
../resampled_audio/re_LJ016-0108.wav	the newgate officers obtained information of this and went to the spot where they effected the capture
../resampled_audio/re_LJ009-0225.wav	but not before the greatest scandal had been caused by the unseemly proceedings of the crowd that flocked to see the sight a sort of fair was held
../resampled_audio/re_LJ030-0162.wav	in the presidential limousine
../resampled_audio/re_LJ006-0304.wav	committed by the house of commons who had been lodged in the governor's own house
../resampled_audio/re_LJ020-0001.wav	marion harland's cookery for beginners bread sponge and breakfast breads
../resampled_audio/re_LJ033-0069.wav	as she marina told me about it i stepped onto the blanket roll
../resampled_audio/re_LJ019-0318.wav	was to be the rule for all convicted prisoners throughout the early stages of their detention
../resampled_audio/re_LJ042-0164.wav	the collective contrasts sharply with material which oswald seems to have written after he left the soviet union
../resampled_audio/re_LJ005-0262.wav	it was suggested that the rules framed for prison government should be subjected to the secretary of state for approval
../resampled_audio/re_LJ008-0080.wav	she was immediately tied by the neck to an iron bolt fixed near the top of the stake
../resampled_audio/re_LJ044-0206.wav	the castro regime severely attacked president kennedy in connection with the bay of pigs affair the cuban missile crisis the ban on travel to cuba
../resampled_audio/re_LJ049-0065.wav	a number of steps are taken however to permit appropriate steps to be taken in an emergency
../resampled_audio/re_LJ023-0008.wav	we were then in the midst of the great banking crisis
../resampled_audio/re_LJ033-0079.wav	sister of the man with whom oswald drove to work  buell wesley frazier
../resampled_audio/re_LJ028-0441.wav	trees and overhanging vines were planted and thus the travelers' tales arose
../resampled_audio/re_LJ034-0196.wav	another person who saw the assassin as the shots were fired was amos l euins age 
../resampled_audio/re_LJ019-0259.wav	while the former was intended for the congregate labor of a number and the latter as its name implies imposed continuous solitary toil
../resampled_audio/re_LJ032-0122.wav	at  pm on november 
../resampled_audio/re_LJ019-0208.wav	the proposal made was to purchase some fifty thousand square feet between newgate warwick lane and the sessions house
../resampled_audio/re_LJ047-0193.wav	and so advised the dallas office in the ordinary course of business
../resampled_audio/re_LJ007-0079.wav	or arraignment to an asylum and the secretary of state had the same power as regards any who became insane while undergoing sentence
../resampled_audio/re_LJ028-0369.wav	they intentionally mentioned a most unfavorable hour
../resampled_audio/re_LJ048-0082.wav	the testimony reveals that liaison responsibilities in connection with the president's visit
../resampled_audio/re_LJ017-0276.wav	then he wanted to know when the policemen would arrive and was told none would come
../resampled_audio/re_LJ007-0235.wav	instead of ventilating the apartments they only serve to convey the offensive effluvia arising from the decaying animal matter into the diningrooms
../resampled_audio/re_LJ016-0246.wav	over the door in gilt letters were the words crown office in the window was a pile of official envelopes ostentatiously displayed
../resampled_audio/re_LJ037-0020.wav	in his testimony before the commission
../resampled_audio/re_LJ028-0014.wav	the desert about you shows no signs of life
../resampled_audio/re_LJ016-0203.wav	he got besides halfacrown for every man he flogged and an allowance to provide cats or birch rods
../resampled_audio/re_LJ024-0074.wav	instead of leaving the composition of our federal courts including the highest
../resampled_audio/re_LJ050-0106.wav	to devise a practical system which has any reasonable possibility of revealing such malcontents
../resampled_audio/re_LJ023-0035.wav	for in the last three national elections
../resampled_audio/re_LJ028-0178.wav	the walls of babylon were so long and wide and high that all who saw them were amazed
../resampled_audio/re_LJ009-0079.wav	the sermon of this day whether eloquent or plain useful or useless must produce a striking effect at the moment of its delivery
../resampled_audio/re_LJ001-0156.wav	the paper on which the printing is to be done is a necessary part of our subject
../resampled_audio/re_LJ014-0144.wav	she uttered loud imprecations cursing judge jury barristers witnesses and all who stood around
../resampled_audio/re_LJ016-0310.wav	another distinguished witness feared
../resampled_audio/re_LJ044-0142.wav	of each of his changes of mailing address
../resampled_audio/re_LJ018-0172.wav	more than this griffiths took the police to a field where in a bank a number of other plates were secreted
../resampled_audio/re_LJ037-0237.wav	when interviewed by fbi agents on january  
../resampled_audio/re_LJ046-0217.wav	must be referred immediately by the most expeditious means of communication to the nearest office of the us secret service
../resampled_audio/re_LJ037-0038.wav	at the southeast corner of the intersection approximately  feet away
../resampled_audio/re_LJ043-0186.wav	marina oswald indicated that her husband had compared general walker to adolph hitler
../resampled_audio/re_LJ005-0269.wav	prison officers should not have any share in prisoners' earnings
../resampled_audio/re_LJ002-0266.wav	his bequest which was charged upon his manor at goring oxon and hence called the oxford charity
../resampled_audio/re_LJ047-0109.wav	when quigley returned to his office he learned
../resampled_audio/re_LJ040-0106.wav	it also appears that lee tried to tag along with his older brothers
../resampled_audio/re_LJ039-0088.wav	it just is an aid in seeing in the fact that you only have the one element the crosshair
../resampled_audio/re_LJ033-0109.wav	the commission has carefully considered the testimony of these two witnesses with regard to the length of the bag
../resampled_audio/re_LJ008-0144.wav	in  an event long remembered from the fatal and disastrous consequences which followed it
../resampled_audio/re_LJ049-0200.wav	it is suggested that an organization shorn of its power to investigate all the possibilities of danger to the president
../resampled_audio/re_LJ022-0141.wav	to be interpreted as lack of interest in or disapproval of many other important proposals that are pending
../resampled_audio/re_LJ012-0164.wav	no murder has created greater sensation and horror throughout england than that of mr weare by thurtell hunt and probert
../resampled_audio/re_LJ040-0113.wav	they moved shortly after robert joined the marines they lived for a time with john pic who was stationed there with the coast guard
../resampled_audio/re_LJ021-0127.wav	machinery set up by the federal government has provided some new methods of adjustment
../resampled_audio/re_LJ029-0106.wav	the police officials agreed that the route recommended by sorrels was the proper one and did not express a belief that any other route might be better
../resampled_audio/re_LJ010-0172.wav	he saw prince albert return there from a visit to woolwich and then passed on to constitution hill
../resampled_audio/re_LJ018-0301.wav	were lodged at once by drafts to horton another alias in the continental bank
../resampled_audio/re_LJ039-0161.wav	and the infantry weapons evaluation branch of the us army there were no misfires
../resampled_audio/re_LJ016-0146.wav	from the building he was on to a distant wall with a drop of sixty feet between
../resampled_audio/re_LJ031-0198.wav	upon arrival president johnson made a brief statement over television and radio
../resampled_audio/re_LJ044-0132.wav	he had not liked his job as a greaser of coffee processing machinery and he held it for only a little over  months
../resampled_audio/re_LJ047-0226.wav	and never realized that the motorcade would pass the texas school book depository building
../resampled_audio/re_LJ020-0014.wav	beating the batter smooth as you go on until all of the liquid and flour has gone in
../resampled_audio/re_LJ001-0112.wav	instead of ending in the sharp and clear stroke of jenson's letters
../resampled_audio/re_LJ002-0033.wav	 the female debtors' side  the chapel yard  the middle yard
../resampled_audio/re_LJ001-0184.wav	all books might be at least comely and welllooking and if to these good qualities were added really beautiful ornament and pictures
../resampled_audio/re_LJ028-0193.wav	and to them came hope of returning to jerusalem
../resampled_audio/re_LJ048-0180.wav	this justification of the secret service's standing policy is not persuasive
../resampled_audio/re_LJ033-0192.wav	when paul m stombaugh of the fbi laboratory examined the paper bag
../resampled_audio/re_LJ041-0107.wav	he testified that he had felt the sergeant had a grudge against him and that he had unsuccessfully sought a transfer from the sergeant's unit
../resampled_audio/re_LJ028-0197.wav	belshazzar the king he was really the king's son gave a feast to a thousand of his nobles
../resampled_audio/re_LJ016-0031.wav	yet from the circumstantial account given by williams after recapture there can be little doubt that he got away as will be described
../resampled_audio/re_LJ009-0027.wav	will thereby be lost
../resampled_audio/re_LJ012-0224.wav	who examined bishop and his fellows and further incriminating evidence adduced to the effect that the prisoners had bartered for a coach to carry a stiff 'un
../resampled_audio/re_LJ016-0311.wav	that any secrecy in the treatment of the condemned would invest them with a new and greater interest which was much to be deprecated
../resampled_audio/re_LJ049-0192.wav	it was also suggested that it would take a substantial period of time for the secret service to build up the experience and skills necessary to meet the problem
../resampled_audio/re_LJ019-0180.wav	his letter to the corporation under date th june
../resampled_audio/re_LJ036-0036.wav	at about  pm on the day of the assassination mcwatters viewed four men in a police lineup
../resampled_audio/re_LJ016-0410.wav	nodded pleasantly to the governor who stood just opposite and then walked briskly towards the execution shed smiling as he went along
../resampled_audio/re_LJ008-0108.wav	the ordinary gravely uttered 'come this way mr smith'
../resampled_audio/re_LJ012-0005.wav	was a blind man named edwards who had taken this house in york street and who was known to be a frequent visitor at mrs canning's
../resampled_audio/re_LJ041-0088.wav	which he strove to maintain and quote felt the marine corps kept a pretty close watch on him because of his subversive activities end quote
../resampled_audio/re_LJ018-0255.wav	the case was easily and rapidly disposed of
../resampled_audio/re_LJ042-0208.wav	the deportations the purposeful curtailment of diet in the consumer slighted population of russia
../resampled_audio/re_LJ038-0144.wav	that must have been some other time he picked me up end quote
../resampled_audio/re_LJ015-0113.wav	followed him over to sweden and arrested him at helsingfors
../resampled_audio/re_LJ002-0297.wav	on the master's side it was thirteen and fourpence and a gallon of beer on entrance although mr newman
../resampled_audio/re_LJ048-0149.wav	is essential this would help to eliminate varying interpretations of secret service instructions by different local law enforcement representatives for example
../resampled_audio/re_LJ039-0080.wav	of the marine corps school at quantico virginia
../resampled_audio/re_LJ002-0061.wav	or they lodged with the gatesmen the prisoner officers who had charge of the inner gates
../resampled_audio/re_LJ045-0092.wav	as to the fact that he was an outstanding man end quote
../resampled_audio/re_LJ046-0136.wav	before the assassination of president kennedy
../resampled_audio/re_LJ018-0076.wav	as sattler brooded over his wrongs his rage got the upper hand and he resolved to wreak it upon thain
../resampled_audio/re_LJ034-0010.wav	below the southeast corner window on the sixth floor was a large carton of books
../resampled_audio/re_LJ032-0006.wav	millimeter italian rifle bearing the serial number c
../resampled_audio/re_LJ048-0057.wav	there might conceivably have been additional investigation of the oswald case between november  and november 
../resampled_audio/re_LJ012-0222.wav	plainly pointing to the perpetration of other crimes
../resampled_audio/re_LJ047-0221.wav	or vice president to immediately notify the secret service and confirm it in writing
../resampled_audio/re_LJ018-0128.wav	brown took several sheets and then was detected by brewer a fellowworkman of superior grade
../resampled_audio/re_LJ002-0104.wav	can be permitted to enter the interior of this prison end quote the taproom and bar were just behind the felons' entrance lodge
../resampled_audio/re_LJ045-0134.wav	hosty had come to the paine residence on november  and  
../resampled_audio/re_LJ050-0189.wav	that written instructions might come into the hands of local newspapers to the prejudice of the precautions described
../resampled_audio/re_LJ028-0331.wav	after this second exploit his praise was in all mouths
../resampled_audio/re_LJ013-0028.wav	and at last when within fifteen miles of port with wind and weather perfectly fair he ran her on to the rocks
../resampled_audio/re_LJ030-0218.wav	the right rear tail when she noticed that i was trying to climb on the car
../resampled_audio/re_LJ017-0175.wav	the circumstances were strange mrs wilson had gone to the chemist's for medicine
../resampled_audio/re_LJ032-0078.wav	a selective service registration certificate and a certificate of service in the us marine corps all three cards being in his own name
../resampled_audio/re_LJ015-0305.wav	at his trial atwell and hardwicke two of his chief allies and accomplices turned approvers
../resampled_audio/re_LJ021-0172.wav	they point to england
../resampled_audio/re_LJ019-0277.wav	the prisoners should be made to dispense with the use of a mattress and should sleep on planks
../resampled_audio/re_LJ016-0313.wav	on the other hand lords cranworth and wensleydale recommended private executions so did mr spencer walpole mp
../resampled_audio/re_LJ027-0141.wav	is closely reproduced in the lifehistory of existing deer or in other words
../resampled_audio/re_LJ023-0018.wav	we also became convinced that the only way to avoid a repetition of those dark days was to have a government with power to prevent
../resampled_audio/re_LJ042-0055.wav	in the event of war i would kill any american who put a uniform on in defense of the american government  any american
../resampled_audio/re_LJ031-0034.wav	the governor was lifted onto a stretcher and taken into trauma room 
