item_id,query_mod,question,review,human_ans_spans,human_ans_indices
B0002L5R78,perfect,How is the quality of the image?,"Under $3 and free shipping. Easily the best value ever. I have 3 HDTVs with Dish Network DVRs hooked up with these very same HDMI cables, and the picture is stunning on all. Also have 2 PS3's hooked up with these cables, and again the picture is flawless. Don't fall for the overpriced cable hype. These are solid, well constructed, and deliver top quality signals. ANSWERNOTFOUND",the picture is stunning on all,"(142, 172)"
B00889ST2G,good,What was the best result?,"The Sony RX100 is a great camera overall, but has some weaknesses in the performance area that take some of the shine away from the overall shooting experience.Image quality at lower ISOs is excellent. Sharp, detailed, good dynamic range. There are two issues I have with this camera, however. First off, it has a tendency to overexpose and clip highlights. Secondly, while it keeps noise at bay through ISO1600, it seems to do this through very aggressive noise reduction at ISO800 and beyond, taking a toll on fine detail. The Olympus XZ-2 on the other hand, has more noise at ISO800 but also more detail. Personally, I like cameras that retain fine detail better and don't mind a little noise. But to say that the RX100 is an open and shut case as far as IQ is concerned (when compared to its competitors)...not quite.I am not particularly thrilled about the F4.9 at the telephoto end but the lens has nice characteristics otherwise so I really don't see that as a negative overall. What is a negative overall is how long it takes for the lens to zoom in and out and it's loud when it does it.The autofocus performance on this camera is somewhat disappointing in low-light. It's fine in the daytime but in low-light it's almost as slow as the much less-expensive Powershot S100. Also I had issues with the image stabilization is not great on the camera for some reason. I found in a lot of instances that you had to hold onto the camera very tightly in order to get a blur-free shot. I think that is inexcusable for a $650 camera.Some people have commented on the battery life of this camera. It's not the greatest but that's one of the trade-offs you have to make with a small pocket camera. Your best bet is just to get an extra battery.The LCD screen on back is very nice being somewhat viewable in direct sunlight. The menu system on the camera is a very nice and more straight-forward than other Sony cameras that I've used. The dial up front doesn't have decisive clicks that the Powershot S100 has but it's still nice to have considering that some enthusiast cameras don't have it at all.Ergonomics-wise, I think this camera could use some improvement. The shiny metal body is slippery up front and could benefit from some sort of grip or textured surface to make the camera more secure in your hand.Video generally looks nice, I haven't tested it much. But it generally is sharp and the audio sounds good.I think the RX100 was a respectable first compact enthusiast camera for Sony. And indeed, it's remarkable they were able to take a relatively large sensor and put it in such a compact light-weight camera. It's image quality is a cut above any enthusiast compact out there. But it has some performance-related issues that need refinement. Not terrible, but it could have been better on a $650 camera. Overall though, a great first enthusiast compact from Sony. ANSWERNOTFOUND",Image quality at lower ISOs is excellent,"(160, 200)"
B000ENTFDG,excellent,How is it the control?,"I can't tell people enough how wonderful this camera is. It has a huge viewing screen, simple controls, and produces high quality images. People are amazed with the photos I take with it. The Stabilizer it worth it's weight in gold. When taking low light shots, it really shines. No blurry photos with this camera. The night time setting with the moon on it is amazing for taking photos of the moon, or city lights. Make sure you read the manual or you will overlook tons of features. ANSWERNOTFOUND","screen simple controls ,","(79, 103)"
B004O6MN7E,nice,How is the tv?,"I've had this TV for about a week now and it has fantastic picture quality, its also not heavy at all, while I did move the TV around by myself I wouldn't recommend if you are more than a few feet. The TV is incredibly thin, if you get a ultra-thin wall mount (got mine from Monoprice) the distance of the front panel to wall is about 3 inches. Since the remote has a QWERTY keyboard I thought it was going to be very large, however the form factor and size of the remote is very decent. The 240hz motion is a requirement, my friend has a 120hz recently purchased TV and I could immediately tell the difference.PROS: thin profile, smart applications, DLNA, QWERTY remote, 240hz motionCONS: QWERTY remote usability is not integrated into all applications (example QWERTY doesn't work with Youtube app). Thin profile (yes this is a negative as well): all manufacturers that make thin profile TVs should consider separate component units so that you only have to run 1 wire (power + data) to the TV. The thin profile of the TV makes it very difficult to access and modify cables once its wall mounted. The USB ports are definitely inaccessible once the TV is mounted (recommending plugging in a USB extender cable ahead of time)**I got an ultra-thin wall mount and since there's barely 1inch clearance behind the TV you HAVE to dismount the TV in order to modify cable connections, unless you have a retractable wall mount I don't think its possible to make any cable modifications without dismounting the TV. Also I got 24AWG HDMI cables, which are awesome cables but make it more difficult to use with a thin profile TV and ultra-thin wall mount. ANSWERNOTFOUND",The TV is incredibly,"(198, 218)"
B0027VT6V4,enough,How is the volume of the unit?,"These speakers ROCK. I've tried Cyber Acoustic products against Logitech and Altec Lansing, and these speakers are by far the best in their category.Firstly, the satellite tower design includes two speakers per tower, which helps distribute sound over a greater area than with single speaker designs. This greatly improves the listening experience, as the ""sweet spot"" area has widened so listeners perceive full-sounding stereo from a variety of locations in a small room. Additionally this avoids the pitfalls of ""small"" computer speakers which sound small, like music playing from a tin box. (the CA speakers 1 level below these with a single speaker design by comparison sound MUCH worse).Secondly, the bass and speakers are very powerful for their size, and have little to no distortion even at full-volume.The sub-woofer volume is adjustable independently of the other speakers. This lets you boost bass for music genres with a lot of low-frequency sounds, such as electronic/dance or hip-hop/rap, and likewise decrease bass for genres like classical and acoustic where the bass could overwhelm the instruments or vocals.The cord is conveniently long ans contains a circular volume control with a headphone jack and aux input.NOTE: I have two of these speaker systems because a roommate dropped a satellite speaker and broke the plastic foot. They are plenty sturdy if you respect them and should last a long time if handle them carefully. I guess that also shows how good these speakers are, that they broke and I bought them again.I'm a recording enthusiast, and these speakers satisfy my needs. They are not studio monitors but it's definitely possible to create good mixes on them. They take up considerably less space than professional studio monitors and are hundreds of dollars cheaper, but the sound quality is not significantly worse than monitors I've tried. They are easily 10x better than integrated speakers in TVs, laptops, etc. and they are a few steps above every speaker set in the less than $70 price range. ANSWERNOTFOUND",full volume,"(800, 811)"
B0027VT6V4,terrible,How is the quality of the speaker?,"Speakers sound pretty good.  Good highs and mids.  Didn't really expect much with the small sub but it's ok.  Overall, I'm happy with this speaker system. ANSWERNOTFOUND",Speakers sound pretty good,"(0, 26)"
B007I5JT4S,simple,How was the quality of the interface?,"Okay, bad on me for not doing my research, but the whole reason I bought this was because I wanted to watch Amazon Prime Video Streaming from my iPad to my TV.  I thought airplay and screen mirroring would be the way to go.  Little did I know Amazon and Apple are having a stand-off because Apple can't handle competition.  Well, I'm sorry Apple, but in my opinion, Amazon's services are better than your's and Netflix' combined.  In the meantime, I'll use my dinky little Wii to watch Prime content in non-HD.Seriously Apple, get over it and quit suing everyone for everything.Please hold while I step down from my soapbox.... Okay, on a positive note.  This thing is incredibly easy to use, I watch my video podcasts effortlessly, and video rentals are actually quite reasonable.  Also, I really like the ability to stream music from my PC (using iTunes) and have a slideshow screensaver display on my TV (from a specific folder that I chose on my computer).  Screen mirroring is pretty cool, but I haven't found much practical use for it.It was a toss-up between this and the Roku, and I'm glad I got the Apple TV.Good hunting... ANSWERNOTFOUND",This thing is incredibly easy to use,"(655, 691)"
B0087NZ31S,better,Is the signal good?,"I'm using this as a range extender only so I can't comment about it's use as a routerWhen I updated to a new router with Time Warner, it was a combo router/modem and the signal was weaker than my previous router. My setup is in the basement. I'd never had a problem before but now our phones couldn't get a wifi signal upstairs. Our laptops could pick up a signal but it was weak and intermittent. So I bought the Securifi Almond to boost our signal. It works like a charm and was extremely easy to setup. I put it in a room directly above the router. The laptops now get full bars and the phones also get a good strong signal from anywhere in the house. I haven't tried using any devices outside yet, but I'm confident it will work there too. Love it! ANSWERNOTFOUND",our phones could n't get a wifi signal,"(281, 318)"
B001NJ0D0Y,similar,How about product?,"This product is amazing. It drop my Temp. from 30C to 17C in idle and 65C to 40C in Max Load.  Very big but amazingly very quiet. didn't have to use my fan controller because it was quiet enough for me. Very easy to install, i didn't even have to look at instructions. I would definitely recommend this to everyone. ANSWERNOTFOUND",This product is amazing,"(0, 23)"
B005DKZTMG,lightweight,Does the keyboard lightweight?,"I really like this keyboard.  I give it 4 stars because it doesn't have a CAPS LOCK key so I never know if my caps are on.  But for the price, it really suffices as a wireless keyboard.  I have very large hands and this keyboard is compact, but I have no complaints. ANSWERNOTFOUND",this keyboard is compact,"(215, 239)"
B000WYVBR0,much low,What is the price of this bottle?,Took my guy less than 10 minutes to install - had it about a week.  Came with lots of screw sizes to ensure they fit your particular TV model.  Very sturdy.  Love having the flexibility of moving my TV around and getting it off my file cabinet.  The included leveler and HDMI cable were perfect additions and the price is fantastic!  Will purchase from them again! ANSWERNOTFOUND,Very sturdy,"(144, 155)"
B0001FTVEK,spectacular,What is the sound quality?,"My wife and daughter have been after me to buy some wireless headphones for quite awhile because I generally stay up later than then and they are tired of hearing the TV at night.  I did some research and checked out all of my options..these seemed to be the best value for the money....Sennheiser well known for wired and wireless headphones....Well, I am QUITE happy with my purchase...it did take me a little bit to figure the tuning...to get it just right, but the sound is clear, the base is great and I can turn the volume on the TV all the way down and still listen...Highly recommend these!UPDATE 2008: I've now had these headphones for three years.  I am still loving them.  The sound is great and it has great range.  I can walk all over my house and still hear fine though when I get to the outer fringes of the range I'll hear bursts of static from time to time. ANSWERNOTFOUND",I 'll hear bursts of static from time to time,"(829, 873)"
B001V9LPT4,heavy,How is the bass?,"I got these on amazon about a day ago, i got them to work out with, not the best choice i know but i love good sound quality and with a Trusted name like Klipsch that is what i got. The sound is great, good bass nice Sound isolation due to the rubber ear molds. They sit differently then any other headphones iv had and even running on my readmill they have yet to fall out of my ear. I also got them on sale for 55$ due to them being open box from a Vendor on amazon so that was key in buying them also. The one flaw with this product that I see has already been mentioned is that the Cord is very thin... thin to the point that im worried i will break it or pull it loose at some point. Other then that these are great and the sound isolation is very good. ANSWERNOTFOUND",good bass nice Sound isolation due to the rubber ear molds,"(202, 260)"
B006ZS5ATM,exceptional,What is the sound quality?,"So I was looking for a decent headset for pretty cheap, looked on Google to see the best headsets and these were #1, I figured i'd get them because they seemed decent and for pretty cheap. After I ordered them I saw a review saying that they don't work with Windows 8, I have Windows 8 so I started worrying about them. I got them and just as the comment said, they weren't working, so I looked up what to do and found solutions really easily online, now they work perfectly and amazingly. Sound quality is awesome. 7.1 in headphones?!?!?! Deal me in! They really are as comfortable as they look, build quality is just as nice, and the Mic is super clear. So if you're looking for a decent headset for pretty cheap, go with these :) ANSWERNOTFOUND",Sound quality is awesome,"(490, 514)"
